,Conference,Year,Title,Novelty,Domain,Note
1,ECCOMAS Thematic Conference on Multibody Dynamics,2021,"Extended Kalman Filter for Real-Time, Full?“Body Motion Capture and Driving Efforts Estimation (ID: 238)",,,
2,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical stability analysis of the conservative SLIP model with a Hill-type muscle (ID: 234),,,
3,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Child Gait Predictive Dynamic Simulation (ID: 133),,,
4,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Statistical Analysis of Performace Measures During Acceleration and Deceleration in Overground Running (ID: 247),,,
5,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient Walking Of A Discrete Simple Biped With a Torso (ID: 116),,,
6,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Use of a Multibody Model for Determination of the 3D Human Spine Posture from Wearable Inertial Sensors (ID: 123),,,
7,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A new method for feedback and feedforward decomposition of human postural control: application to single-leg Yoga postures (ID: 132),,,
8,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of the Reaction Time During Balancing on Rolling Balance Board in the Frontal Plane (ID: 221),,,
9,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanical Modeling and Examination of Effects of Ankle Sprain Orthoses (ID: 246),,,
10,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kinematic Analysis of Planar Biomechanical Models using Mixed Coordinates (ID: 245),,,
11,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sars Covid19 main protease mutation analysis via a kinematic method (ID: 215),,,
12,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assisted Walking with Hybrid Orthosis Using Functional Electrical Stimulation (ID: 272),,,
13,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanics of Swimmers: A Multibody Inverse Dynamics Approach (ID: 270),,,
14,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Forward Dynamic Simulations of the Temporomandibular Joint based on Subject-Specific Data (ID: 142),,,
15,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long Term Simulation of Stem Cell Nucleus During Adipogenesis (ID: 147),,,
16,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical solutions of the electromechanical middle ear model with an implantable hearing device (ID: 195),,,
17,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Control concepts for human motion control during balancing an inverted pendulum (ID: 208),,,
18,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal control of a human driver in highly dynamic driving scenarios (ID: 188),,,
19,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization and Evaluation of Spinal Exoskeleton Design Concepts using Optimal Control (ID: 235),,,
20,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Towards Compliant Human-Exoskeleton Interactions Within Multibody Dynamics Simulations of Assisted Human Mo-tor Control (ID: 191),,,
21,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rehabilitation of Musculoskeletal Models Using Deep Reinforcement Learning (ID: 269),,,
22,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of Intervertebral Efforts via an EMG-driven Multibody Model of the Sorensen Test (ID: 126),,,
