,Conference,Year,Title,Novelty,Domain,Note
1,IEEE International Conference on Robotics and Automation,2021,Uncertainty-aware Non-linear Model Predictive Control for Human-following Companion Robot,,,
2,IEEE International Conference on Robotics and Automation,2021,Path Planning in Uncertain Ocean Currents using Ensemble Forecasts,,,
3,IEEE International Conference on Robotics and Automation,2021,Distributed Motion Coordination Using Convex Feasible Set Based Model Predictive Control,,,
4,IEEE International Conference on Robotics and Automation,2021,Risk-Conditioned Distributional Soft Actor-Critic for Risk-Sensitive Navigation,,,
5,IEEE International Conference on Robotics and Automation,2021,Optimized Method for Planning and Controlling the Somersault Motion of Quadruped Robot,,,
6,IEEE International Conference on Robotics and Automation,2021,Motion Coupling Analysis for the Decoupled Design of a Two-segment Notched Continuum Robot,,,
7,IEEE International Conference on Robotics and Automation,2021,VINS-Motion: Tightly-coupled Fusion of VINS and Motion Constraint,,,
8,IEEE International Conference on Robotics and Automation,2021,Robot-to-image Registration with Geometric Marker for CT-guided Robotic Needle Insertion,,,
9,IEEE International Conference on Robotics and Automation,2021,Shape Sensor Using Magnetic Induction with Frequency Sweeping for Medical Catheters,,,
10,IEEE International Conference on Robotics and Automation,2021,Temperature Compensated 3D Printed Strain Sensor for Advanced Manufacturing Applications,,,
11,IEEE International Conference on Robotics and Automation,2021,Design of a deployable underwater robot for the recovery of autonomous underwater vehicles based on origami technique,,,
12,IEEE International Conference on Robotics and Automation,2021,Modelling and optimisation of a mechanism-based metamaterial for a wrist flexion-extension assistive device,,,
13,IEEE International Conference on Robotics and Automation,2021,Mechatronic Design of A Low-Noise Active Knee Prosthesis with High Backdrivability,,,
14,IEEE International Conference on Robotics and Automation,2021,Introspective Visuomotor Control: Exploiting Uncertainty in Deep Visuomotor Control for Failure Recovery,,,
15,IEEE International Conference on Robotics and Automation,2021,Sim-to-Real Visual Grasping via State Representation Learning Based on Combining Pixel-Level and Feature-Level Domain Adaptation,,,
16,IEEE International Conference on Robotics and Automation,2021,Dexterous Manoeuvre through Touch in a Cluttered Scene,,,
17,IEEE International Conference on Robotics and Automation,2021,Mapless-Planner: A Robust and Fast Planning Framework for Aggressive Autonomous Flight without Map Fusion,,,
