Index,Conference,Year,Title,Novelty,Domain,Note
1,ECCOMAS Thematic Conference on Multibody Dynamics,2021,"Extended Kalman Filter for Real-Time, Full-Body Motion Capture and Driving Efforts Estimation (ID: 238)",,Numerical analysis,
2,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical stability analysis of the conservative SLIP model with a Hill-type muscle (ID: 234),,Modeling,
3,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Child Gait Predictive Dynamic Simulation (ID: 133),,Modeling,
4,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Statistical Analysis of Performace Measures During Acceleration and Deceleration in Overground Running (ID: 247),,Numerical analysis,
5,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient Walking Of A Discrete Simple Biped With a Torso (ID: 116),,Dynamics,
6,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Use of a Multibody Model for Determination of the 3D Human Spine Posture from Wearable Inertial Sensors (ID: 123),,Modeling,
7,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A new method for feedback and feedforward decomposition of human postural control: application to single-leg Yoga postures (ID: 132),,Control,
8,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of the Reaction Time During Balancing on Rolling Balance Board in the Frontal Plane (ID: 221),,Measurements,
9,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanical Modeling and Examination of Effects of Ankle Sprain Orthoses (ID: 246),,Modeling,
10,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kinematic Analysis of Planar Biomechanical Models using Mixed Coordinates (ID: 245),,Modeling,
11,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sars Covid19 main protease mutation analysis via a kinematic method (ID: 215),,Numerical analysis,
12,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assisted Walking with Hybrid Orthosis Using Functional Electrical Stimulation (ID: 272),,Dynamics,
13,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanics of Swimmers: A Multibody Inverse Dynamics Approach (ID: 270),,Dynamics,
14,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Forward Dynamic Simulations of the Temporomandibular Joint based on Subject-Specific Data (ID: 142),,Modeling,
15,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long Term Simulation of Stem Cell Nucleus During Adipogenesis (ID: 147),,Modeling,
16,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical solutions of the electromechanical middle ear model with an implantable hearing device (ID: 195),,Modeling,
17,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Control concepts for human motion control during balancing an inverted pendulum (ID: 208),,Control,
18,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal control of a human driver in highly dynamic driving scenarios (ID: 188),,Optimization,
19,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization and Evaluation of Spinal Exoskeleton Design Concepts using Optimal Control (ID: 235),,Optimization,
20,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Towards Compliant Human-Exoskeleton Interactions Within Multibody Dynamics Simulations of Assisted Human Mo-tor Control (ID: 191),,Control,
21,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rehabilitation of Musculoskeletal Models Using Deep Reinforcement Learning (ID: 269),,AI,
22,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of Intervertebral Efforts via an EMG-driven Multibody Model of the Sorensen Test (ID: 126),,Modeling,
23,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model-based Co-simulation of Non-smooth Mechanical Systems (ID: 256),,Modeling,
24,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Further investigation on LuGre friction force model under normal load variation (ID: 225),,Modeling,
25,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody fatigue assessment in industrial mechanisms considering wear in revolute joints (ID: 252),,Dynamics,
26,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The Tippedisk: a minimal model for friction-induced inversion (ID: 113),,Modeling,
27,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Do we need to impose constraints at acceleration level in the nonsmooth generalized-alpha method? (ID: 261),,Formulation,
28,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Planar Wrapping and Stretching of a Thick Strand on a Surface by Continuous Integration (ID: 183),,Dynamics,
29,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Train Bogie Dynamics Modeling with an Emphasis on Contact Mechanics in a Multibody Model (ID: 262),,Modeling,
30,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient impact simulation using the flexible natural coordinate formulation and pinball model (ID: 266),,Modeling,
31,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long-term rolling motions of a basketball on the rim (ID: 241),,Robotics,
32,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical Analysis of Contact-Impact Problems using Finite Element Method (ID: 124),,Modeling,
33,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Port crane guidance dynamics analysed via the Multibody approach (ID: 214),,Dynamics,
34,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Nonsmooth Dynamics Perspective on State Observer Design for Mechanical Systems with Unilateral Constraints (ID:140),,Formulation,
35,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-smooth numerical solution for Coulomb friction and rolling resistance (ID: 267),,Dynamics,
