Index,Conference,Year,Title,Novelty,Domain,Note
1,ECCOMAS Thematic Conference on Multibody Dynamics,2021,"Extended Kalman Filter for Real-Time, Full-Body Motion Capture and Driving Efforts Estimation (ID: 238)",extended kalman filter,Numerical analysis,
2,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical stability analysis of the conservative SLIP model with a Hill-type muscle (ID: 234),numerical stability analysis,Modeling,
3,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Child Gait Predictive Dynamic Simulation (ID: 133),child gait predictive dynamic simulation,Modeling,
4,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Statistical Analysis of Performace Measures During Acceleration and Deceleration in Overground Running (ID: 247),statistical analysis,Numerical analysis,
5,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient Walking Of A Discrete Simple Biped With a Torso (ID: 116),discrete simple biped,Dynamics,
6,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Use of a Multibody Model for Determination of the 3D Human Spine Posture from Wearable Inertial Sensors (ID: 123),3d human spine posture,Modeling,
7,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A new method for feedback and feedforward decomposition of human postural control: application to single-leg Yoga postures (ID: 132),leg yoga postures,Control,
8,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of the Reaction Time During Balancing on Rolling Balance Board in the Frontal Plane (ID: 221),rolling balance board,Measurements,
9,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanical Modeling and Examination of Effects of Ankle Sprain Orthoses (ID: 246),ankle sprain orthoses,Modeling,
10,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Kinematic Analysis of Planar Biomechanical Models using Mixed Coordinates (ID: 245),planar biomechanical models using mixed coordinates,Modeling,
11,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sars Covid19 main protease mutation analysis via a kinematic method (ID: 215),sars covid19 main protease mutation analysis via,Numerical analysis,
12,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Assisted Walking with Hybrid Orthosis Using Functional Electrical Stimulation (ID: 272),hybrid orthosis using functional electrical stimulation,Dynamics,
13,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Biomechanics of Swimmers: A Multibody Inverse Dynamics Approach (ID: 270),multibody inverse dynamics approach,Dynamics,
14,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Forward Dynamic Simulations of the Temporomandibular Joint based on Subject-Specific Data (ID: 142),temporomandibular joint based,Modeling,
15,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long Term Simulation of Stem Cell Nucleus During Adipogenesis (ID: 147),stem cell nucleus,Modeling,
16,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Analytical solutions of the electromechanical middle ear model with an implantable hearing device (ID: 195),electromechanical middle ear model,Modeling,
17,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Control concepts for human motion control during balancing an inverted pendulum (ID: 208),human motion control,Control,
18,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimal control of a human driver in highly dynamic driving scenarios (ID: 188),highly dynamic driving scenarios,Optimization,
19,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Optimization and Evaluation of Spinal Exoskeleton Design Concepts using Optimal Control (ID: 235),spinal exoskeleton design concepts using optimal control,Optimization,
20,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Towards Compliant Human-Exoskeleton Interactions Within Multibody Dynamics Simulations of Assisted Human Mo-tor Control (ID: 191),exoskeleton interactions within multibody dynamics simulations,Control,
21,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Rehabilitation of Musculoskeletal Models Using Deep Reinforcement Learning (ID: 269),musculoskeletal models using deep reinforcement learning,AI,
22,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Estimation of Intervertebral Efforts via an EMG-driven Multibody Model of the Sorensen Test (ID: 126),intervertebral efforts via,Modeling,
23,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Model-based Co-simulation of Non-smooth Mechanical Systems (ID: 256),smooth mechanical systems,Modeling,
24,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Further investigation on LuGre friction force model under normal load variation (ID: 225),lugre friction force model,Modeling,
25,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Multibody fatigue assessment in industrial mechanisms considering wear in revolute joints (ID: 252),industrial mechanisms considering wear,Dynamics,
26,ECCOMAS Thematic Conference on Multibody Dynamics,2021,The Tippedisk: a minimal model for friction-induced inversion (ID: 113),minimal model,Modeling,
27,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Do we need to impose constraints at acceleration level in the nonsmooth generalized-alpha method? (ID: 261),nonsmooth generalized,Formulation,
28,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Planar Wrapping and Stretching of a Thick Strand on a Surface by Continuous Integration (ID: 183),thick strand,Dynamics,
29,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Train Bogie Dynamics Modeling with an Emphasis on Contact Mechanics in a Multibody Model (ID: 262),train bogie dynamics modeling,Modeling,
30,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Efficient impact simulation using the flexible natural coordinate formulation and pinball model (ID: 266),flexible natural coordinate formulation,Modeling,
31,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Long-term rolling motions of a basketball on the rim (ID: 241),term rolling motions,Robotics,
32,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Numerical Analysis of Contact-Impact Problems using Finite Element Method (ID: 124),impact problems using finite element method,Modeling,
33,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Port crane guidance dynamics analysed via the Multibody approach (ID: 214),port crane guidance dynamics analysed via,Dynamics,
34,ECCOMAS Thematic Conference on Multibody Dynamics,2021,A Nonsmooth Dynamics Perspective on State Observer Design for Mechanical Systems with Unilateral Constraints (ID:140),state observer design,Formulation,
35,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Non-smooth numerical solution for Coulomb friction and rolling resistance (ID: 267),smooth numerical solution,Dynamics,
36,ECCOMAS Thematic Conference on Multibody Dynamics,2021,On the simulation of freewheels using the methods of non-smooth dynamics (ID: 217),smooth dynamics,Modeling,
37,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Manufacturing tolerance optimization of circuit breaker mechanism using Multibody Dynamic simulation (ID: 259),circuit breaker mechanism using multibody dynamic simulation,Optimization,
38,ECCOMAS Thematic Conference on Multibody Dynamics,2021,3D LuGre model for multibody systems involving contacts with stick-slip (ID: 175),multibody systems involving contacts,Modeling,
39,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An impact model of three-dimensional rigid rocking blocks (ID: 150),dimensional rigid rocking blocks,Modeling,
40,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Synchronous Contact/Impact Events Modelling With A Smooth-Based Approach (ID: 114),impact events modelling,Modeling,
41,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Demystifying the Mechanical and Numerical Concepts Underlying Multibody System Dynamics: Development of an International MOOC (ID: 194),numerical concepts underlying multibody system dynamics,Dynamics,
42,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Validation of MBD-CFD Co-Simulation for Corrugating Machine (ID: 115),corrugating machine,Modeling,
43,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Development of a Cyber-Physical Test Bench for E-Powertrain Components (ID: 119),physical test bench,Dynamics,
44,ECCOMAS Thematic Conference on Multibody Dynamics,2021,An improved absolute coordinate formulation (ACF) for flexible multibody dynamics (ID: 134),improved absolute coordinate formulation,Formulation,
45,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Computation of internal forces in beam elements with constraint torsional warping (ID: 218),constraint torsional warping,Formulation,
46,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Modelling of dielectric elastomer actuated flexible multibody dynamics (ID: 135),dielectric elastomer actuated flexible multibody dynamics,Modeling,
47,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Sloshing Dynamics Estimation for Liquid-filled Containers under 2-Dimensional Excitation (ID: 274),sloshing dynamics estimation,Measurements,
48,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Eigenfrequency assignment to flexible-link multibody systems using Taylor expansion of a parametric modal model (ID:236),link multibody systems using taylor expansion,Modeling,
49,ECCOMAS Thematic Conference on Multibody Dynamics,2021,Satisfying floating frame constraints in an absolute interface coordinates floating frame formulation (ID: 197),absolute interface coordinates floating frame formulation,Formulation,
