Conference,Year,Title,Keywords,Category,Note
International Conference on Multibody System Dynamics,2018,A planar impact model for rocking block systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Solution of the general single contact frictional problem in multibody dynamics using b-geometry ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,An improved LCP model of multiple contact problems with static friction ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Limitations of finite difference methods in the computation of coupling forces prescribed by the Reynolds equation ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Terramechanics and Impact Modelling of a Spherical Hybrid Ground-Aerial Vehicle,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Hybrid OpenMP - MPI Simulation for Large-Scale Granular Dynamics in Chrono ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Influence of soft and rigid contact models on granular dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Coupling Multibody and Granular Dynamics: Experimental Validation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Implementation of a non-Hertzian Contact Model for Railway Dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A new simplified approach to deal with conformal contact in railway dynamics,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Development and validation of a wear model by means of innovative measuring instruments,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Wear and Rolling Contact Fatigue: development of an innovative tool for simultaneous wheel and rail damage evaluation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Kinematics Extraction of the ATD Head Impact Component Tester from Angular Rate Sensor and Accelerometer Data,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Full-field Measurement of Contacts/Impacts in Multibody System Using Digital Image Correlation,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Dynamic modeling and analysis of contact interaction of a passive biped-walking robot,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Gear drive simulations with friction and higher order ansatz functions using elastic multibody models ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Formulation and Analysis of Sliding Joints with Clearances in Flexible Multibody Systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A Methodology for Modeling and Simulating Frictional Translational Joint with a Flexible Slider and Clearance in Multibody Systems ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,A Transient EHL contact model describing system-level spur gears dynamic behavior ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,"Time integration of nonsmooth mechanical systems using constraints at position, velocity and acceleration levels ","Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,"Gauss principle of least constraints for nonsmooth
multibody system","Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Rigid Bodies in Continuum mechanics ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Using superposition of local soil flow fields to improve soil deformation in the DLR Soil Contact Model - SCM ,"Contact, Impact, and Constraints",기타,
International Conference on Multibody System Dynamics,2018,Impacts in case of triple unilateral constraint system ,"Contact, Impact, and Constraints",기타,
