,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Industrial Technology (ICIT),2020,A Decoupled Data-Driven Strategy for Estimating Parameters with Nonlinear Dependence,Nonlinear dependence,Dynamics,
2,IEEE International Conference on Industrial Technology (ICIT),2020,Arbitrary Time Stabilization of a Coupled Tank System: A Contraction based Approach,Coupled tank system,Electronics,
3,IEEE International Conference on Industrial Technology (ICIT),2020,Controller and Observer Design using Vector Framework with Simplified Contraction Analysis,Observer design using vector framework,Electronics,
4,IEEE International Conference on Industrial Technology (ICIT),2020,Data-based Process Monitoring and Iterative Fault Diagnosis using Factor Graphs,Iterative fault diagnosis using factor graphs,Electronics,
5,IEEE International Conference on Industrial Technology (ICIT),2020,Decentralized structural control using Craig-Bampton reduction and local controller design,Decentralized structural control using craig,Control,
6,IEEE International Conference on Industrial Technology (ICIT),2020,Experimental Design of Robust Decentralized PI Controller for TRMS through Polytopic Modeling,Robust decentralized pi controller,Control,
7,IEEE International Conference on Industrial Technology (ICIT),2020,Improved D-Q Frame Controller for Stand-Alone Single-Phase Inverters,Q frame controller,Control,
8,IEEE International Conference on Industrial Technology (ICIT),2020,Laser Inkless Eco-Printing on Paper and Cardboard,Laser inkless eco,Dynamics,
9,IEEE International Conference on Industrial Technology (ICIT),2020,MPPT for a photovoltaic system under partial shaded conditions,Partial shaded conditions,Dynamics,
10,IEEE International Conference on Industrial Technology (ICIT),2020,Proposal of Fuzzy Controllers for Improve Features of Driven Style in Electric Vehicles Using Experimental Route Data,Electric vehicles using experimental route data,Vehicle dynamics,
11,IEEE International Conference on Industrial Technology (ICIT),2020,Sensorless Monitoring and Analysis of Grinding Process Using Disturbance Observer,Grinding process using disturbance observer,Numerical analysis,
12,IEEE International Conference on Industrial Technology (ICIT),2020,Stable Traveling Control Considering Slip of Wheels in Two-wheel Mobile Robot,Stable traveling control considering slip,Robotics,
13,IEEE International Conference on Industrial Technology (ICIT),2020,Sub-optimal Linear Parameter Varying Model Predictive Control for Solar Collectors,Optimal linear parameter varying model predictive control,Optimization,
14,IEEE International Conference on Industrial Technology (ICIT),2020,Temperature Control for Fusing Process of Laser Printers with Preview Action,Temperature control,Electronics,
15,IEEE International Conference on Industrial Technology (ICIT),2020,Trajectory Generation for a Hydraulic Mini Excavator using Nonlinear Model Predictive Control,Hydraulic mini excavator using nonlinear model predictive control,Control,
16,IEEE International Conference on Industrial Technology (ICIT),2020,Variable Structure Controller for Plastic Injection Moulding System,Plastic injection moulding system,Control,
17,IEEE International Conference on Industrial Technology (ICIT),2020,Variable Switching Frequency Control for Efficiency Improvement of Motor Drive System by Using GaN Three Phase Inverter,Using gan three phase inverter,Control,
18,IEEE International Conference on Industrial Technology (ICIT),2020,EMD - Electrical Machines and Drives,Electrical machines,Electronics,
19,IEEE International Conference on Industrial Technology (ICIT),2020,A Modified Torque Ripple Minimization Technique for BLDC Motor Drive using Synthesized Current Phase Compensation,Bldc motor drive using synthesized current phase compensation,Electronics,
20,IEEE International Conference on Industrial Technology (ICIT),2020,Aging Attacks against Electro-Mechanical Actuators from Control Signal Manipulation,Control signal manipulation,Electronics,
21,IEEE International Conference on Industrial Technology (ICIT),2020,Bidirectional Coupling Calculation of Electromagnetic Field and Thermal Field for FSPM Machine,Bidirectional coupling calculation,Electronics,
