,Conference,Year,Title,Keywords,Category,Note
1,IEEE International Conference on Robotics and Automation,2018,Welcome Message from the General Chair,Welcome message,Dynamics,
2,IEEE International Conference on Robotics and Automation,2018,ICRA 2018 Program Chair Report,Icra 2018 program chair report,Dynamics,
3,IEEE International Conference on Robotics and Automation,2018,Organizing Committee,Organizing committee,Dynamics,
4,IEEE International Conference on Robotics and Automation,2018,Conference Editorial Committee,Conference editorial committee,Dynamics,
5,IEEE International Conference on Robotics and Automation,2018,Plenary and Keynote Talks,Keynote talks,Dynamics,
6,IEEE International Conference on Robotics and Automation,2018,Awards,Awards,Dynamics,
7,IEEE International Conference on Robotics and Automation,2018,ICRA 2018 Youtube Channel,Icra 2018 youtube channel,Dynamics,
8,IEEE International Conference on Robotics and Automation,2018,Workshops & Tutorials,Workshops,Dynamics,
9,IEEE International Conference on Robotics and Automation,2018,Sponsors and Exhibitors,Sponsors,Dynamics,
10,IEEE International Conference on Robotics and Automation,2018,Automatic Optimized 3D Path Planner for Steerable Catheters with Heuristic Search and Uncertainty Tolerance,Automatic optimized 3d path planner,Robotics,
11,IEEE International Conference on Robotics and Automation,2018,Design and kinematics characterization of a laser-profiled continuum manipulator for the guidance of bronchoscopic instruments,Profiled continuum manipulator,Electronics,
12,IEEE International Conference on Robotics and Automation,2018,"Design, Modeling and Control of a 2-DoF Robotic Guidewire",Dof robotic guidewire,Robotics,
13,IEEE International Conference on Robotics and Automation,2018,A Self-propelled Catheter Capable of Generating Travelling Waves with Steering Function by Mono-Line Drive,Propelled catheter capable,Dynamics,
14,IEEE International Conference on Robotics and Automation,2018,Towards a Modular Suturing Catheter for Minimally Invasive Vascular Surgery,Minimally invasive vascular surgery,Dynamics,
15,IEEE International Conference on Robotics and Automation,2018,An Observer-Based Fusion Method Using Multicore Optical Shape Sensors and Ultrasound Images for Magnetically-Actuated Catheters,Based fusion method using multicore optical shape sensors,Electronics,
16,IEEE International Conference on Robotics and Automation,2018,Reflection-Aware Sound Source Localization,Aware sound source localization,Dynamics,
17,IEEE International Conference on Robotics and Automation,2018,Deep Neural Networks for Multiple Speaker Detection and Localization,Multiple speaker detection,AI,
18,IEEE International Conference on Robotics and Automation,2018,DroneEARS: Robust Acoustic Source Localization with Aerial Drones,Robust acoustic source localization,Electronics,
19,IEEE International Conference on Robotics and Automation,2018,Ultra-Wideband Radar for Robust Inspection Drone in Underground Coal Mines,Underground coal mines,Dynamics,
20,IEEE International Conference on Robotics and Automation,2018,Inertial Machine Monitoring System for Automated Failure Detection,Inertial machine monitoring system,Electronics,
21,IEEE International Conference on Robotics and Automation,2018,iMag: Accurate and Rapidly Deployable Inertial Magneto-Inductive Localisation,Rapidly deployable inertial magneto,Electronics,
22,IEEE International Conference on Robotics and Automation,2018,Parallel Pick and Place Using Two Independent Untethered Mobile Magnetic Microgrippers,Place using two independent untethered mobile magnetic microgrippers,Electronics,
23,IEEE International Conference on Robotics and Automation,2018,Development and Experimental Validation of a Combined FBG Force and OCT Distance Sensing Needle for Robot-Assisted Retinal Vein Cannulation,Oct distance sensing needle,Robotics,
24,IEEE International Conference on Robotics and Automation,2018,Requirements Based Design and End-to-End Dynamic Modeling of a Robotic Tool for Vitreoretinal Surgery,Requirements based design,Robotics,
25,IEEE International Conference on Robotics and Automation,2018,ESD CYCLOPS: A New Robotic Surgical System for GI Surgery,New robotic surgical system,Robotics,
26,IEEE International Conference on Robotics and Automation,2018,Differentiation of C2C12 Myoblasts and Characterization of Electro-Responsive Beating Behavior of Myotubes Using Circularly Distributed Multiple Electrodes for Bio-Syncretic Robot,Myotubes using circularly distributed multiple electrodes,Robotics,
27,IEEE International Conference on Robotics and Automation,2018,String Untying Planning Based on Knot Theory and Proposal of Algorithms to Generate the Motion of a Manipulator,String untying planning based,Robotics,
28,IEEE International Conference on Robotics and Automation,2018,Compliant Low Profile Multi-Axis Force Sensors,Compliant low profile multi,Dynamics,
29,IEEE International Conference on Robotics and Automation,2018,A Novel Approach to Under-Actuated Control of Fluidic Systems,Novel approach,Electronics,
30,IEEE International Conference on Robotics and Automation,2018,Introducing PneuAct: Parametrically-Designed MRI-Compatible Pneumatic Stepper Actuator,Compatible pneumatic stepper actuator,Electronics,
31,IEEE International Conference on Robotics and Automation,2018,Efficient Planning for Near-Optimal Compliant Manipulation Leveraging Environmental Contact,Optimal compliant manipulation leveraging environmental contact,Electronics,
32,IEEE International Conference on Robotics and Automation,2018,Constrained Sampling-Based Planning for Grasping and Manipulation,Constrained sampling,Vehicle dynamics,
33,IEEE International Conference on Robotics and Automation,2018,Geometric In-Hand Regrasp Planning: Alternating Optimization of Finger Gaits and In-Grasp Manipulation,Hand regrasp planning,Optimization,
34,IEEE International Conference on Robotics and Automation,2018,Manipulating Highly Deformable Materials Using a Visual Feedback Dictionary,Manipulating highly deformable materials using,Electronics,
35,IEEE International Conference on Robotics and Automation,2018,Reactive Planar Manipulation with Convex Hybrid MPC,Reactive planar manipulation,Electronics,
