,Conference,Year,Title,Keywords,Category,Note
1,International Conference on Multibody System Dynamics,2018,A planar impact model for rocking block systems ,Rocking block systems,Electronics,
2,International Conference on Multibody System Dynamics,2018,Solution of the general single contact frictional problem in multibody dynamics using b-geometry ,General single contact frictional problem,Electronics,
3,International Conference on Multibody System Dynamics,2018,An improved LCP model of multiple contact problems with static friction ,Multiple contact problems,Electronics,
4,International Conference on Multibody System Dynamics,2018,Limitations of finite difference methods in the computation of coupling forces prescribed by the Reynolds equation ,Finite difference methods,Dynamics,
5,International Conference on Multibody System Dynamics,2018,Terramechanics and Impact Modelling of a Spherical Hybrid Ground-Aerial Vehicle,Spherical hybrid ground,Vehicle dynamics,
6,International Conference on Multibody System Dynamics,2018,Hybrid OpenMP - MPI Simulation for Large-Scale Granular Dynamics in Chrono ,Scale granular dynamics,Modeling,
7,International Conference on Multibody System Dynamics,2018,Influence of soft and rigid contact models on granular dynamics,Rigid contact models,Electronics,
8,International Conference on Multibody System Dynamics,2018,Coupling Multibody and Granular Dynamics: Experimental Validation,Granular dynamics,Dynamics,
9,International Conference on Multibody System Dynamics,2018,Implementation of a non-Hertzian Contact Model for Railway Dynamics,Hertzian contact model,Electronics,
10,International Conference on Multibody System Dynamics,2018,A new simplified approach to deal with conformal contact in railway dynamics,New simplified approach,Electronics,
11,International Conference on Multibody System Dynamics,2018,Development and validation of a wear model by means of innovative measuring instruments,Innovative measuring instruments,Measurements,
12,International Conference on Multibody System Dynamics,2018,Wear and Rolling Contact Fatigue: development of an innovative tool for simultaneous wheel and rail damage evaluation,Rolling contact fatigue,Electronics,
13,International Conference on Multibody System Dynamics,2018,Kinematics Extraction of the ATD Head Impact Component Tester from Angular Rate Sensor and Accelerometer Data,Atd head impact component tester,Electronics,
14,International Conference on Multibody System Dynamics,2018,Full-field Measurement of Contacts/Impacts in Multibody System Using Digital Image Correlation,Multibody system using digital image correlation,Smart technologies,
15,International Conference on Multibody System Dynamics,2018,Dynamic modeling and analysis of contact interaction of a passive biped-walking robot,Walking robot,Robotics,
16,International Conference on Multibody System Dynamics,2018,Gear drive simulations with friction and higher order ansatz functions using elastic multibody models ,Higher order ansatz functions using elastic multibody models,Modeling,
17,International Conference on Multibody System Dynamics,2018,Formulation and Analysis of Sliding Joints with Clearances in Flexible Multibody Systems ,Flexible multibody systems,Formulation,
