,Conference,Year,Title,Keywords,Category,Note
1,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Investigation of Tympanic Membrane Influences on Middle-Ear Impedance Measurements and Simulation,tympanic membrane influences,Measurements,
2,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Anterior Cruciate Ligament Injuries Alter the Kinematics and Kinetics of Knees with or Without Meniscal Deficiency,anterior cruciate ligament injuries alter,Dynamics,
3,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Investigation of Inhomogeneous Stiffness and Damping Characteristics of the Human Stapedial Annular Ligament,human stapedial annular ligament,Electronics,
4,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Comparison of Measured EMG Data with Simulated Muscle Actuations of a Biomechanical Human Arm Model in an Optimal Control Framework – Direct Vs. Muscle Synergy Actuation,optimal control framework – direct vs,Measurements,
5,ECCOMAS Thematic Conference on Multibody Dynamics,2019,A Detailed Kinematic Multibody Model of the Shoulder Complex After Total Shoulder Replacement,detailed kinematic multibody model,Electronics,
6,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Multibody Analysis of a 3D Human Model with Trunk Exoskeleton for Industrial Applications,3d human model,Modeling,
7,ECCOMAS Thematic Conference on Multibody Dynamics,2019,A Hill Muscle Actuated Arm Model with Dynamic Muscle Paths,hill muscle actuated arm model,Robotics,
8,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Optimal Control Simulations of Two-Finger Precision Grasps,optimal control simulations,Optimization,
9,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Reinforcement Learning Applied to a Human Arm Model,reinforcement learning applied,AI,
10,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamic Modeling and Analysis of Pool Balls Interaction,pool balls interaction,Electronics,
11,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamics of Machine-Process Combinations,process combinations,Electronics,
12,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Modeling of Elastic Cages in the Rolling Bearing Multi-Body Tool CABA3D,rolling bearing multi,Modeling,
13,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Analysis of the Influence of the Links’ Flexibility and Clearance Effects on the Dynamics of the RUSP Linkage,links ’ flexibility,Numerical analysis,
14,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Multibody Analysis and Design of an Electromechanical System Simulating Hyperelastic Membranes,electromechanical system simulating hyperelastic membranes,Electronics,
15,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Haptic Simulation of Mechanisms,haptic simulation,Modeling,
16,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Solution Techniques for Problems of Inverse Dynamics of Flexible Underactuated Systems,flexible underactuated systems,Electronics,
17,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Investigation of the Behavior of Vibration-Damped Flexible Link Robots in End-Effector Contact: Simulation and Experiment,damped flexible link robots,Robotics,
18,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Possibilistic Investigation of Mechanical Control Systems Under Uncertainty,mechanical control systems,Uncertainty quantification,
19,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Nonlinear Position Control of a Very Flexible Parallel Robot Manipulator ,flexible parallel robot manipulator,Robotics,
20,ECCOMAS Thematic Conference on Multibody Dynamics,2019,A Compliant and Redundantly Actuated 2-DOF 3RRR PKM: Best of Both Worlds?,redundantly actuated 2,Electronics,
21,ECCOMAS Thematic Conference on Multibody Dynamics,2019,On the Modeling of Redundantly-Actuated Mechanical Systems,actuated mechanical systems,Electronics,
22,ECCOMAS Thematic Conference on Multibody Dynamics,2019,An Individual Pitch Control Concept for Wind Turbines Based on Inertial Measurement Units,individual pitch control concept,Measurements,
23,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Localized Helix Configurations of Discrete Cosserat Rods,localized helix configurations,Dynamics,
24,ECCOMAS Thematic Conference on Multibody Dynamics,2019,"Importance of Warping in Beams with Narrow Rectangular Cross-Sections: An Analytical, Numerical and Experimental Flexible Cross-Hinge Case Study",narrow rectangular cross,Dynamics,
25,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Robust and Fast Simulation of Flexible Flat Cables,flexible flat cables,Modeling,
26,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamic Analysis of Compliant Mechanisms Using Absolute Nodal Coordinate Formulation and Geometrically Exact Beam Theory,compliant mechanisms using absolute nodal coordinate formulation,Formulation,
27,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamic Performance of Flexible Composite Structures with Dielectric Elastomer Actuators via Absolute Nodal Coordinate Formulation,dielectric elastomer actuators via absolute nodal coordinate formulation,Formulation,
28,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Approaches to Fibre Modelling in the Model of an Experimental Laboratory Mechanical System,experimental laboratory mechanical system,Electronics,
29,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Body-Fluid-Structure Interaction Simulation for a Trailing-Edge Flexible Stabilizer,structure interaction simulation,Electronics,
30,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Investigation of a Model Update Technique for Flexible Multibody Simulation,model update technique,Modeling,
31,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Extension of the Iterative Improved Reduced System Technique to Flexible Mechanisms,iterative improved reduced system technique,Formulation,
32,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Updating of Finite Element Models for Controlled Multibody Flexible Systems Through Modal Analysis,controlled multibody flexible systems,Control,
33,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Modelling Rigid and Flexible Bodies with Truss Elements,truss elements,Modeling,
34,ECCOMAS Thematic Conference on Multibody Dynamics,2019,State Observation in Beam-Like Structures Under Unknown Excitation,unknown excitation,Dynamics,
35,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamic Modelling of Lower Mobility Parallel Manipulators,lower mobility parallel manipulators,Modeling,
36,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Mathematical Model of a Crane with Taking into Account Friction Phenomena in Actuators,account friction phenomena,Electronics,
37,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Closed Form of the Baker-Campbell-Hausdorff Formula for the Lie Algebra of Rigid Body Displacements,rigid body displacements,Electronics,
38,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Alternative Integration Schemes for Constrained Mechanical Systems,constrained mechanical systems,Vehicle dynamics,
39,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Implementation of Linear Springs and Dampers in a Newmark Second Order Direct Integration Method for 2D Multibody Dynamics ,newmark second order direct integration method,Dynamics,
40,ECCOMAS Thematic Conference on Multibody Dynamics,2019,On the Numerical Treatment of Nonlinear Flexible Multibody Systems with the Use of Quasi-Newton Methods,nonlinear flexible multibody systems,Dynamics,
41,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Interior-Point Solver for Non-smooth Multi-Body Dynamics with Finite Elements,smooth multi,Dynamics,
42,ECCOMAS Thematic Conference on Multibody Dynamics,2019,A Fast Explicit Integrator for Numerical Simulation of Multibody System Dynamics,multibody system dynamics,Modeling,
43,ECCOMAS Thematic Conference on Multibody Dynamics,2019,The Discrete Hamiltonian-Based Adjoint Method for Some Optimization Problems in Multibody Dynamics,based adjoint method,Optimization,
44,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Dynamic Parameters Optimization and Identification of a Parallel Robot,dynamic parameters optimization,System identification,
45,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Partial Shaking Force Balancing of 3-RRR Parallel Manipulators by Optimal Acceleration Control of the Total Center of Mass,partial shaking force balancing,Electronics,
46,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Energy Expenditure Minimization for a Delta-2 Robot Through a Mixed Approach,energy expenditure minimization,Robotics,
47,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Training a Four Legged Robot via Deep Reinforcement Learning and Multibody Simulation,four legged robot via deep reinforcement learning,AI,
48,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Two General Index-3 Semi-Recursive Formulations for the Dynamics of Multibody Systems,two general index,Formulation,
49,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Real-Time Capable Calculation of Reaction Forces of Multibody Systems Using Optimized Bushings on the Example of a Vehicle Wheel Suspension,multibody systems using optimized bushings,Vehicle dynamics,
50,ECCOMAS Thematic Conference on Multibody Dynamics,2019,A Machine Learning Approach for Minimal Coordinate Multibody Simulation,minimal coordinate multibody simulation,AI,
51,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Efficient Particle Simulation Using a Two-Phase DEM-Lookup Approach,efficient particle simulation using,Electronics,
52,ECCOMAS Thematic Conference on Multibody Dynamics,2019,"DARTS - Multibody Modeling, Simulation and Analysis Software",multibody modeling,Modeling,
53,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Optimization of Geometric Parameters and Stiffness of MultiUniversal-Joint Drive Shaft Considering the Dynamics of Driveline,joint drive shaft considering,Optimization,
54,ECCOMAS Thematic Conference on Multibody Dynamics,2019,Application of Multibody Dynamics in the Modelling of a Limited-Slip Differential,slip differential,Modeling,
